"","X_CENTROID","Y_CENTROID","SUPERFICIE","SIREN"
"697",535847,6703729,21333,200073161
"698",517396,6720873,50761,200073237
"699",808845,6396465,31809,200073245
"700",1226409,6168841,23449,200073252
"701",383238,6605421,95085,200073260
"702",614782,6835340,63615,200073344
"703",739534,6446527,109105,200073393
"704",784686,6429445,46179,200073401
"705",764560,6449585,133147,200073419
"706",786108,6466575,35157,200073427
"707",845000,6493164,41870,200077014
"708",414963,6782792,69499,200083392
"709",501092,6945859,51685,200084952
"710",725722,6466851,42595,200085728
"711",849184,6478544,41104,200085751
"712",567996,6903299,51418,200089456
"713",703986,6862823,56411,200090504
"714",625900,6679215,50904,200090561
"715",903061,6603005,99238,200090579
"716",617516,7091547,18583,200090751
"717",702086,7059539,67538,200093201
"718",860787,6531084,12745,240100610
"719",931899,6578358,40420,240100750
"720",852895,6528538,6553,240100800
"721",882607,6535271,71316,240100883
"722",914526,6562428,17963,240100891
"723",759862,6975811,72867,240200444
"724",750954,6955972,43247,240200469
"725",723818,6920181,18143,240200477
"726",718094,6980305,45129,240200493
"727",738428,6919737,39736,240200501
"728",727316,6907329,23261,240200519
"729",764765,6933458,57140,240200576
"730",723179,6876002,23688,240200584
"731",752807,6927513,17945,240200592
"732",779315,6975329,35126,240200600
"733",778590,6957906,25840,240200634
"734",749658,6570231,33398,240300491
"735",679915,6614164,49580,240300558
"736",669951,6596276,19118,240300566
"737",654803,6592134,38138,240300657
"738",924577,6327569,31157,240400440
"739",982213,6432957,87723,240500439
"740",978360,6416459,52203,240500462
"741",1060766,6320374,65996,240600551
"742",1024874,6299671,48651,240600585
"743",1049148,6311771,21537,240600593
"744",792706,6380140,27954,240700302
"745",801740,6384668,9275,240700617
"746",826345,6451358,14816,240700716
"747",820680,6389958,22064,240700815
"748",827204,6366703,26327,240700864
"749",826082,6997115,27461,240800821
"750",853652,6948342,52727,240800847
"751",810870,6947014,101788,240800862
"752",829946,6921736,119807,240800920
"753",584736,6194536,22325,240900431
"754",603983,6203974,33088,240900464
"755",794522,6809223,32337,241000223
"756",827253,6791463,35227,241000405
"757",755376,6789863,31874,241000447
"758",750918,6809629,44052,241000488
"759",696173,6230840,93381,241100593
"760",665338,6362546,20705,241200187
"761",664080,6328306,31051,241200542
"762",711252,6338952,51663,241200567
"763",645887,6371051,16266,241200625
"764",657366,6378922,41535,241200641
"765",674711,6352968,26548,241200658
"766",635285,6373718,18725,241200674
"767",684485,6345018,49336,241200765
"768",636128,6353401,26281,241200807
"769",713773,6317037,65465,241200906
"770",685709,6331264,44350,241200914
"771",847230,6295487,32058,241300375
"772",834470,6290725,144329,241300417
"773",487637,6919339,11928,241400415
"774",466015,6873540,49184,241400514
"775",431288,6914923,20027,241400555
"776",452742,6915916,6107,241400860
"777",493894,6910022,32016,241400878
"778",657952,6428229,49437,241500230
"779",676107,6464561,45858,241500255
"780",651183,6460432,22797,241500271
"781",660230,6473789,32861,241501055
"782",671911,6427794,23702,241501089
"783",655210,6447547,64382,241501139
"784",463498,6524647,22669,241600303
"785",386374,6569379,33223,241700434
"786",360108,6576021,8546,241700459
"787",404620,6531797,27311,241700517
"788",367832,6545686,17540,241700624
"789",411260,6508374,26533,241700632
"790",392611,6510765,60107,241700640
"791",385914,6528984,16084,241700699
"792",673367,6662628,36461,241800374
"793",670105,6642550,33852,241800424
"794",690359,6636838,27210,241800432
"795",639485,6652162,23458,241800457
"796",652912,6660975,42013,241800507
"797",624655,6474288,47432,241900133
"798",605880,6467239,85480,241927201
"799",587566,6484653,33782,241927243
"800",1226447,6200190,6927,242000354
"801",1211609,6089520,68441,242000495
"802",1194036,6119317,38283,242000503
"803",1180765,6116520,27164,242010056
"804",1196087,6082901,52883,242010130
"805",1209913,6144928,36165,242020071
"806",1180550,6176717,56615,242020105
"807",856241,6715115,37398,242100154
"808",854572,6691372,24031,242100410
"809",823455,6746186,181899,242101434
"810",790150,6694232,26885,242101442
