codgeo;superficie;SEXE-AGE3_B_POP_ENS_ENS;densite;taux_cumu_1_inj;latitude;longitude
200067114;437,290;68050;1,55617553568570e+02;0,680;6742478;743526
200067122;220,470;11008;4,99296956502018e+01;0,590;6337617;561587
200067130;1727,810;34228;1,98100485585799e+01;0,676;6728029;720300
200067155;431,910;13653;3,16107522400500e+01;0,655;6316416;685676
200067163;654,290;6285;9,60583227620780e+00;0,663;6302528;684301
200067171;863,360;10147;1,17529188287620e+01;0,722;6403660;679750
200067189;882,970;13563;1,53606577799925e+01;0,660;6542716;612494
200067197;396,880;7652;1,92803870187462e+01;0,625;6829241;194795
200067205;1421,290;179484;1,26282461707322e+02;0,702;6944781;372160
200067213;1436,810;295926;2,05960426221978e+02;0,656;6905495;771558
200067221;627,310;42823;6,82644944285919e+01;0,663;6771585;263888
200067239;524,710;28481;5,42795067751710e+01;0,693;6272459;429214
200067247;424,440;22927;5,40170577702384e+01;0,681;6813042;174386
200067254;343,860;161871;4,70746815564474e+02;0,670;6250711;424670
200067262;1070,480;32154;3,00369927509155e+01;0,644;6231929;405358
200067288;444,330;17445;3,92613598001485e+01;0,664;6261576;386546
200067296;583,420;34273;5,87449864591546e+01;0,682;6259064;443404
200067304;467,790;24133;5,15893884007781e+01;0,671;6766468;751702
200067320;243,990;7620;3,12307881470552e+01;0,561;6383561;952854
200067346;525,430;63534;1,20918105171003e+02;0,686;6681683;324359
200067361;1285,250;43563;3,38945730402645e+01;0,604;6394842;616844
200067379;452,350;11716;2,59002984414723e+01;0,685;6856694;828573
200067429;504,680;12187;2,41479749544266e+01;0,656;6704098;734880
200067437;1598,510;47382;2,96413535104566e+01;0,558;6338751;955325
200067445;717,720;9358;1,30385108398818e+01;0,588;6387301;923094
200067452;753,080;8031;1,06642056620811e+01;0,575;6407045;995693
200067460;1154,600;51230;4,43703447081240e+01;0,665;6806013;275980
200067478;645,860;19355;2,99677948781470e+01;0,689;6383358;674081
200067486;332,750;25187;7,56934635612322e+01;0,659;6923630;951539
200067502;347,610;52934;1,52279853859210e+02;0,653;6886906;971753
200067544;991,750;16589;1,67269977312831e+01;0,691;6572864;642084
200067551;238,740;88701;3,71538074893189e+02;0,527;6585333;960717
200067593;966,880;13476;1,39376137679960e+01;0,667;6543797;650156
200067627;270,340;25734;9,51912406599098e+01;0,684;6514297;727704
200067635;311,500;55455;1,78025682182986e+02;0,670;6674800;369783
200067643;271,800;16769;6,16961000735835e+01;0,681;6826010;950413
200067650;252,750;23116;9,14579624134520e+01;0,710;6906657;957384
200067668;500,000;20191;4,03820000000000e+01;0,636;6768791;696356
200067676;754,430;27555;3,65242633511393e+01;0,672;6757094;672496
